"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분"
"3120000","2014","143 ","20141010","20141105","어바웃샤브이대점","서울특별시 서대문구 이화여대8길 2, (대현동,(201호))","서울특별시 서대문구 대현동  54번지 1호  (201호)","3120000-101-2007-00019","경양식","소고기샤브","98.80","신촌동","상수도전용"
"3120000","2014","79  ","20141010","20141105","지호한방삼계탕 연희점","서울특별시 서대문구 연희로25길 10, (연희동,(지하1층~지상1층))","서울특별시 서대문구 연희동  78번지 20호  (지하1층~지상1층)","3120000-101-2007-00253","한식","삼계탕","188.07","연희동",""
"3120000","2014","151 ","20141010","20141105","이화수전통육개장(충정로점)","서울특별시 서대문구 충정로 18, 1층 (충정로3가)","서울특별시 서대문구 충정로3가  360번지 24호  1층","3120000-101-2000-03500","한식","설렁탕","132.00","충현동","상수도전용"
"3120000","2014","142 ","20141010","20141105","나주곰탕","서울특별시 서대문구 신촌역로 7, 신촌푸르지오시티 101, 102호 (대현동)","서울특별시 서대문구 대현동  104번지 5호  신촌푸르지오시티 1층 101, 102호","3120000-101-2011-00099","한식","곰탕","87.11","신촌동","상수도전용"
"3120000","2014","19  ","20141010","20141105","등촌 샤브칼국수","서울특별시 서대문구 모래내로 273, (홍은동,(지상1,2층))","서울특별시 서대문구 홍은동  415번지 6호  (지상1,2층)","3120000-101-2003-00373","한식","샤브샤브","141.87","홍은제2동","상수도전용"
"3120000","2014","144 ","20141010","20141105","호천식당","서울특별시 서대문구 연희로14길 5, (연희동)","서울특별시 서대문구 연희동  136번지 26호  ","3120000-101-2011-00192","한식","샤브샤브","188.96","연희동",""
"3120000","2014","156 ","20141010","20141105","서대문영양족발","서울특별시 서대문구 통일로 377, (홍제동, 지하1층,지상1층)","서울특별시 서대문구 홍제동  90번지 53호  지하1층,지상1층","3120000-101-2012-00244","한식","족발","206.78","홍제제1동",""
"3120000","2014","12  ","20141010","20141105","벙커원","서울특별시 서대문구 충정로 20, 1층 (충정로3가)","서울특별시 서대문구 충정로3가  270번지  1층","3120000-101-2002-00590","호프/통닭","햄버거","256.81","충현동","상수도전용"
"3120000","2014","1   ","20141010","20141105","족발야시장 남가좌점","서울특별시 서대문구 증가로 117-1, 1층 (남가좌동)","서울특별시 서대문구 남가좌동  338번지 5호  1층","3120000-101-1999-09211","한식","돼지고기구이","104.26","남가좌제2동","상수도전용"
"3120000","2014","9   ","20141010","20141105","인도야시장","서울특별시 서대문구 연세로 20, (창천동,지상3층)","서울특별시 서대문구 창천동  9번지 20호  지상3층","3120000-101-2002-00539","기타","카레덮밥","82.50","신촌동",""
