"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3210000","2022","3   ","20221001","20221129","서초바다 청조","서울특별시 서초구 서초대로 338, 102호 (서초동)","서울특별시 서초구 서초동  1677번지 8호  -102","3210000-101-2021-00231","한식","","168.29","서초제1동","",""
"3210000","2022","12  ","20221001","20221129","해승어풍","서울특별시 서초구 남부순환로347길 28, 반도빌딩 1층 (서초동)","서울특별시 서초구 서초동  1363번지  반도빌딩 1층","3210000-101-2019-00088","한식","","120.86","서초제2동","",""
"3210000","2022","11  ","20221001","20221129","쌍다리돼지불백 양재점","서울특별시 서초구 언남11길 34-2, 1층 (양재동)","서울특별시 서초구 양재동  268번지  1층","3210000-101-1998-13004","한식","","90.32","양재제2동","상수도전용",""
"3210000","2022","5   ","20221001","20221129","소담비빔국수","서울특별시 서초구 바우뫼로33길 7-8, 1층 (양재동)","서울특별시 서초구 양재동  68번지 7호  1층","3210000-101-2017-00008","한식","","91.95","양재제1동","",""
"3210000","2022","10  ","20221001","20221129","월화당(서래본점)","서울특별시 서초구 사평대로22길 9, 포레스트 1층 (반포동)","서울특별시 서초구 반포동  94번지 13호  포레스트 1층","3210000-101-2016-00364","한식","","152.75","반포제4동","","02  537 9257"
"3210000","2022","9   ","20221001","20221129","주식회사 석안정","서울특별시 서초구 사평대로 349, 서초빌딩 109,110호 (반포동)","서울특별시 서초구 반포동  746번지 9호  서초빌딩","3210000-101-2022-00271","한식","","99.58","반포제2동","",""
"3210000","2022","8   ","20221001","20221129","송학횟집","서울특별시 서초구 법원로3길 12, 승소빌딩 지하1층 (서초동)","서울특별시 서초구 서초동  1706번지 12호  승소빌딩","3210000-101-2020-00492","회집","","433.52","서초제3동","","02  595 8822"
"3210000","2022","6   ","20221001","20221129","망향비빔국수 신사점","서울특별시 서초구 강남대로95길 17, 1층 (잠원동)","서울특별시 서초구 잠원동  29번지 3호  1층","3210000-101-2017-00269","한식","","125.15","잠원동","",""
"3210000","2022","1   ","20221001","20221129","훌탐라수면","서울특별시 서초구 강남대로10길 7, 1층 (양재동)","서울특별시 서초구 양재동  327번지 18호  1층","3210000-101-2005-00324","기타","","188.49","양재제2동","상수도전용",""
"3210000","2022","2   ","20221001","20221129","서래족발","서울특별시 서초구 방배로 189, 1층 (방배동)","서울특별시 서초구 방배동  836번지 5호  1층 남쪽끝","3210000-101-2021-00188","한식","","145.00","서초제3동","",""
"3210000","2022","7   ","20221001","20221129","육목원","서울특별시 서초구 서초대로78길 46, 1층 (서초동)","서울특별시 서초구 서초동  1330번지 15호  1층","3210000-101-1992-05103","한식","","158.33","서초제2동","상수도전용",""
"3210000","2022","4   ","20221001","20221129","부안애서","서울특별시 서초구 청계산로 223, 1층 (신원동)","서울특별시 서초구 신원동  197번지 1호  1층","3210000-101-2021-00279","한식","","148.17","내곡동","",""
"3210000","2021","12  ","20211001","20211214","수하동 서초점","서울특별시 서초구 법원로2길 6, 1층 (서초동)","서울특별시 서초구 서초동  1716번지 5호  1층","3210000-101-1992-05136","한식","","139.00","서초제3동","상수도전용","02533 3933"
"3210000","2021","0003","20211001","20211214","우나기야 주식회사","서울특별시 서초구 서래로8길 6, 4층 (반포동)","서울특별시 서초구 반포동  91번지 1호  4층","3210000-101-2021-00242","일식","","266.44","반포제4동","",""
"3210000","2021","11  ","20211001","20211214","속리산 염소요리 전문점","서울특별시 서초구 법원로3길 24, (서초동,두언빌딩 1층)","서울특별시 서초구 서초동  1708번지 6호  두언빌딩 1층","3210000-101-2007-00103","한식","","172.61","서초제3동","상수도전용","02  595 7760"
"3210000","2021","5   ","20211001","20211214","아비꼬 내방역점","서울특별시 서초구 서초대로25길 23, 1층 101호 (방배동)","서울특별시 서초구 방배동  875번지 20호  1층 101호","3210000-101-2020-00514","일식","","67.00","서초제3동","",""
"3210000","2021","1   ","20211001","20211214","오장동함흥냉면 파미에스테이션점","서울특별시 서초구 사평대로 205, CENTRALCITY 반포천 복개주차장 1층 FP113호 (반포동)","서울특별시 서초구 반포동  118번지 3호  CENTRALCITY 반포천 복개주차장 1층 FP113호","3210000-101-2021-00151","냉면집","","89.90","반포본동","",""
"3210000","2021","8   ","20211001","20211214","비노바인","서울특별시 서초구 반포대로23길 6, 지하1층 (서초동)","서울특별시 서초구 서초동  1540번지 5호  효진빌딩","3210000-101-2021-00011","경양식","","250.00","서초제2동","",""
"3210000","2021","9   ","20211001","20211214","내림손 삼계탕","서울특별시 서초구 반포대로30길 34, 1층 (서초동)","서울특별시 서초구 서초동  1555번지 3호  1층","3210000-101-1991-05420","한식","","197.43","서초제3동","상수도전용","02  525 7789"
"3210000","2021","10  ","20211001","20211214","옛날 손칼국수 전문점","서울특별시 서초구 서초대로53길 20-3, (서초동,1층)","서울특별시 서초구 서초동  1697번지 31호  1층","3210000-101-2011-00170","한식","","148.50","서초제1동","","02  532 6886"
"3210000","2021","6   ","20211001","20211214","우화","서울특별시 서초구 서초대로78길 36, (서초동, B101호 일부)","서울특별시 서초구 서초동  1327번지 13호  B101호 일부","3210000-101-2011-00125","한식","","277.93","서초제2동","",""
