개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3180000,3180000-104-1913-01275,19130916,,01,영업/정상,01,영업,,,,,0207834877,114.03,150877,서울특별시 영등포구 여의도동 24-2번지 102호 ,서울특별시 영등포구 여의나루로 77-1 (여의도동,102호),07327,린네스가든,2019-06-14 14:22:12,U,2019-06-16 02:40:00.0,다방,193488.889001013    ,446902.521592949    ,다방,0,5,기타,지도,상수도전용,,,,,,,,,N,114.03,,,
3180000,3180000-104-1933-01958,19330413,,03,폐업,02,폐업,19990825,,,,0207802673,32.37,150010,서울특별시 영등포구 여의도동 1-140번지 ,,,뉴욕제과,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,과자점,,,과자점,3,4,아파트지역,지도,상수도전용,,,,,,,,,N,32.37,,,
3180000,3180000-104-1934-00386,19340826,,03,폐업,02,폐업,20091216,,,,0206306000,17.92,150034,서울특별시 영등포구 영등포동4가 441-21번지 ,,,휠라휘프,2009-12-16 20:41:21,I,2018-08-31 23:59:59.0,백화점,,,백화점,0,0,기타,기타,상수도전용,,,,,,,,,N,17.92,,,
3180000,3180000-104-1966-00957,19661227,,03,폐업,02,폐업,20160121,,,,0226785003,116.55,150034,서울특별시 영등포구 영등포동4가 426-71번지 지하1층 ,,,희,2009-08-26 14:31:05,I,2018-08-31 23:59:59.0,다방,191517.978666667    ,445999.559666667    ,다방,2,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,116.55,,,
3180000,3180000-104-1967-00912,19670330,,03,폐업,02,폐업,20101227,,,,0226354329,43.38,150036,서울특별시 영등포구 영등포동6가 79-0번지 지하1층 ,,,궁전,2009-08-17 14:56:19,I,2018-08-31 23:59:59.0,다방,191408.2951524      ,446472.146786764    ,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,43.38,,,
3180000,3180000-104-1967-01345,19670915,,03,폐업,02,폐업,19971126,,,,0206782018,68.26,150033,서울특별시 영등포구 영등포동3가 3-2번지 ,,,한성,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,191827.661989786    ,446313.399531425    ,다방,0,3,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,68.26,,,
3180000,3180000-104-1967-01626,19671115,,03,폐업,02,폐업,19950208,,,,0206776046,40.16,150035,서울특별시 영등포구 영등포동5가 6-0번지 ,,,영,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,191747.252214472    ,446393.375935392    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,40.16,,,
3180000,3180000-104-1968-00846,19680430,,03,폐업,02,폐업,19960719,,,,0206345327,75.73,150036,서울특별시 영등포구 영등포동6가 79-6번지 ,,,뉴욕,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,,,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,75.73,,,
3180000,3180000-104-1968-00978,19681004,,03,폐업,02,폐업,20170220,,,,0206764825,110.43,150903,서울특별시 영등포구 영등포동2가 175-0번지 ,서울특별시 영등포구 영등포로 253 (영등포동2가),07252,경원블루,2017-02-21 10:10:57,I,2018-08-31 23:59:59.0,다방,191952.897386555    ,446340.637133232    ,다방,2,2,기타,지도,상수도전용,,,,,,,,,N,110.43,,,
3180000,3180000-104-1968-01671,19680513,,03,폐업,02,폐업,19950208,,,,0206338477,126.17,150903,서울특별시 영등포구 영등포동2가 143-0번지 ,,,로타리다방,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,192152.344661133    ,446311.597773336    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,126.17,,,
3180000,3180000-104-1969-01248,19690716,,03,폐업,02,폐업,19960531,,,,0208323728,129.54,150841,서울특별시 영등포구 신길동 252-1번지 ,,,비전다방,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,192007.438402533    ,444781.722746921    ,다방,0,3,기타,을,상수도전용,,,,,,,,,N,129.54,,,
3180000,3180000-104-1969-01249,19690910,,03,폐업,02,폐업,20031229,,,,0208332840,87.73,150841,서울특별시 영등포구 신길동 249-38번지 ,,,신신다방,2000-03-20 00:00:00,I,2018-08-31 23:59:59.0,다방,192016.308583622    ,444710.783865203    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,87.73,,,
3180000,3180000-104-1969-01287,19691210,,03,폐업,02,폐업,20091216,,,,0206343136,32.58,150035,서울특별시 영등포구 영등포동5가 25-1번지 ,,,풍차다방,2009-12-17 09:23:56,I,2018-08-31 23:59:59.0,다방,191546.55408983     ,446488.171390531    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,32.58,,,
3180000,3180000-104-1969-01613,19690628,,03,폐업,02,폐업,19920417,,,,0206343664,66.50,150867,서울특별시 영등포구 양평동4가 147-0번지 ,,,명문,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,,,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,66.5,,,
3180000,3180000-104-1969-01644,19691125,,03,폐업,02,폐업,19930105,,,,0206786591,74.61,150033,서울특별시 영등포구 영등포동3가 491-5번지 ,,,동궁다방,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,,,다방,0,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,74.61,,,
3180000,3180000-104-1969-01651,19691030,,03,폐업,02,폐업,19920713,,,,0206785578,108.99,150033,서울특별시 영등포구 영등포동3가 7-25번지 ,,,금성다방,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,191636.053345951    ,446315.067198453    ,다방,0,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,108.99,,,
3180000,3180000-104-1969-01858,19691125,,03,폐업,02,폐업,20091216,,,,02 8450033,57.98,150822,서울특별시 영등포구 대림동 960-4번지 ,,,케익하우스엠마,2009-12-16 17:23:59,I,2018-08-31 23:59:59.0,과자점,191807.303340786    ,443275.178696938    ,과자점,4,2,기타,지도,상수도전용,,,,,,,,,N,57.98,,,
3180000,3180000-104-1970-00942,19700716,,03,폐업,02,폐업,20150223,,,,0206338438,109.34,150036,서울특별시 영등포구 영등포동6가 11-0번지 ,서울특별시 영등포구 영중로 65 (영등포동6가),07251,영원다방,2004-04-21 00:00:00,I,2018-08-31 23:59:59.0,다방,191491.488499846    ,446662.373469791    ,다방,0,3,결혼예식장주변,지도,상수도전용,,,,,,,,,N,109.34,,,
3180000,3180000-104-1970-00951,19700220,,03,폐업,02,폐업,19990105,,,,0206784719,182.68,150034,서울특별시 영등포구 영등포동4가 53-0번지 ,,,쵸이,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,,,다방,0,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,182.68,,,
3180000,3180000-104-1970-00960,19700616,,03,폐업,02,폐업,20110729,,,,0206787781,65.60,150899,서울특별시 영등포구 영등포동 618-3번지 ,,,역전과역마차,2000-03-31 00:00:00,I,2018-08-31 23:59:59.0,다방,191937.502334563    ,446027.480859705    ,다방,0,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,65.6,,,
3180000,3180000-104-1970-00975,19700921,,03,폐업,02,폐업,19970329,,,,0206784514,129.20,150033,서울특별시 영등포구 영등포동3가 1-9번지 ,,,오뚜기다실,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,192033.356641424    ,446259.450480296    ,다방,0,4,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,129.2,,,
3180000,3180000-104-1970-00979,19700319,,03,폐업,02,폐업,20160229,,,,0206345767,90.20,150903,서울특별시 영등포구 영등포동2가 177-2번지 ,서울특별시 영등포구 영등포로 255 (영등포동2가),07252,신성,2003-08-29 00:00:00,I,2018-08-31 23:59:59.0,다방,191966.832082019    ,446324.355654913    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,90.2,,,
3180000,3180000-104-1970-01142,19700622,,03,폐업,02,폐업,19950119,,,,0206338107,57.04,150862,서울특별시 영등포구 양평동1가 28-2번지 ,,,흑장미,2001-08-02 00:00:00,I,2018-08-31 23:59:59.0,다방,190276.725515409    ,446716.979847123    ,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,57.04,,,
