업태,업소명,소재지(도로명),주취급음식,전화번호,위도,경도,데이터기준일자
한식,(주)남원추어탕,서울특별시 광진구 동일로 114 (화양동),추어탕,02-498-8649,37.5426714,127.0646503,2021-01-29
한식,(주)장군갈비,서울특별시 광진구 용마산로 11 (중곡2동),갈비탕,02-457-3241,37.5547181,127.08812,2021-01-29
한식,가마솥도가니탕 장수옥,서울특별시 광진구 용마산로 124 (중곡4동),갈비,02-444-6888,37.56468,127.0869436,2021-01-29
한식,거보주,서울특별시 광진구 아차산로51길 24 (구의1동),"돼지갈비, 삼겹살",02-456-2266,37.5380016,127.0851621,2021-01-29
한식,건국갈비,서울특별시 광진구 광나루로22가길18(화양동),돼지갈비,02-2201-0018,37.5456713,127.0759066,2021-01-29
한식,광장동 가온,"서울특별시 광진구 아차산로78길 75 (광장동, 현대골든텔 106호)",곰국수,02-3436-7100,37.551573,127.1109741,2021-01-29
한식,남원율천추어탕,"서울특별시 광진구 아차산로73길 48, 지하1층(광장동)",,02-549-3066,37.5466931,127.1024213,2021-01-29
한식,냉면전문점이대팔,"서울특별시 광진구 아차산로 238, 1층 (자양4동)",,02-499-0458,37.539935,127.0695705,2021-01-29
한식,대가식당,서울특별시 광진구 광나루로 596 (구의3동),등심,02-456-1944,37.5419929,127.0943562,2021-01-29
한식,대갈집,서울특별시 광진구 능동로 49 (자양4동),갈비,02-463-2702,37.5358089,127.0684009,2021-01-29
한식,은행나무집,서울특별시 광진구 아차산로69길 20 (광장동),오리백숙,02-457-7100,37.5429115,127.0985331,2021-01-29
일식,동신참치,"서울특별시 광진구 광나루로56길 85, 9층동 36호호 (구의3동,테크노마트)",참치회,02-3424-1338,37.5349372,127.0957088,2021-01-29
한식,동해해물,서울특별시 광진구 동일로26길 16 (화양동),해물찜,02-469-5843,37.5452127,127.0667517,2021-01-29
한식,망향비빔국수,"서울특별시 광진구 천호대로 694 (구의2동,(1층))",비빔국수,02-454-1357,37.5492754,127.0912249,2021-01-29
한식,부림정,서울특별시 광진구 뚝섬로 476-7 (자양4동),갈비,02-463-5455,37.5363506,127.0627208,2021-01-29
일식,비조,서울특별시 광진구 광나루로 586 (구의3동),,02-455-1345,37.5428518,127.0936838,2021-01-29
뷔페식,빕스(VIPS) 어린이대공원점,"서울특별시 광진구 능동로 239, 2층 (군자동)",스테이크,02-462-0997,37.5516078,127.0761909,2021-01-29
한식,산울,"서울특별시 광진구 아차산로73길 48, 2층 201호(광장동)",곤드레정식,02-453-2277,37.5466931,127.1024213,2021-01-29
중국식,샹그라,서울특별시 광진구 능동로 237 (군자동),자장면,02-464-8088,37.5512509,127.0760697,2021-01-29
한식,소야지,서울특별시 광진구 능동로36길 24 (능동),비빔밥,02-446-7645,37.5558218,127.0804375,2021-01-29
중국식,송화양꼬치,서울특별시 광진구 동일로18길 70 (자양4동),양꼬치,02-462-7826,37.5387443,127.0665517,2021-01-29
한식,신선설농탕,서울특별시 광진구 자양로 139 (자양1동),설렁탕,02-454-7944,37.5402789,127.0828938,2021-01-29
한식,심마니유황오리,서울특별시 광진구 긴고랑로 85 (중곡2동),오리구이,02-452-1610,37.5608602,127.0852777,2021-01-29
일식,영덕물회&생태,"서울특별시 광진구 아차산로 461 (구의3동,1층)",생태탕,02-454-3396,37.5398604,127.0932221,2021-01-29
한식,영산강,서울특별시 광진구 자양로16길 24 (자양2동),홍삼합,02-452-2119,37.5363359,127.0852153,2021-01-29
한식,예담밥상,서울특별시 광진구 동일로22길 13 (화양동),한정식,02-469-0072,37.5424794,127.0652128,2021-01-29
한식,옹기생삼겹살,서울특별시 광진구 영화사로 97 (구의2동),삼겹살,02-447-3492,37.5545639,127.0968977,2021-01-29
한식,유일설렁탕,서울특별시 광진구 용마산로 154 (중곡4동),설렁탕,02-452-5860,37.5673562,127.0864933,2021-01-29
한식,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),꽃등심,02-447-4111,37.5474829,127.1074896,2021-01-29
한식,지담정,서울특별시 광진구 능동로37길 10-3 (중곡1동),"낙지전골,갈비전골",02-2205-3777,37.5582095,127.0792729,2021-01-29
한식,찜집,서울특별시 광진구 자양번영로 44(자양1동),꽃게찜아구찜,02-446-1149,37.5331659,127.0762135,2021-01-29
한식,채선당,서울특별시 광진구 용마산로 110 (중곡4동),샤브샤브,02-452-5200,37.5633567,127.0872224,2021-01-29
한식,천년의섬 명품 광어,서울특별시 광진구 아차산로 438 (구의3동),생고기,02-457-9706,37.5382075,127.0912914,2021-01-29
한식,춘향골남원추어탕,서울특별시 광진구 아차산로 453-1 (구의3동),추어탕,02-446-4005,37.5394861,127.0924708,2021-01-29
경양식,팀스쿡,"서울특별시 광진구 광나루로50길 10, 1층2층(구의3동)","파자,파스타,스테이크",02-447-0880,37.5424128,127.0936563,2021-01-29
중국식,하이난,"서울특별시 광진구 능동로 243-1, 지하 (군자동)",자장면,02-466-0832,37.5520304,127.07642,2021-01-29
한식,한강옥,서울특별시 광진구 아차산로78길 147 (광장동),한우생고기,02-456-0091,37.5477372,127.1095417,2021-01-29
한식,함흥본가면옥,서울특별시 광진구 광나루로 456 (화양동),냉면,02-447-8806,37.545067,127.0797571,2021-01-29
한식,황금어장,서울특별시 광진구 광나루로 376 (화양동),생선회,02-467-4414,37.5476428,127.0715491,2021-01-29
한식,장원닭한마리,서울특별시 광진구 뚝섬로52길 8 (자양2동),닭한마리,02-446-9662,37.5316603,127.0792916,2021-01-29
한식,민벅,서울특별시 광진구 능동로13길 39(화양동),,,37.5434818,127.0699485,2021-01-29
한식,주식회사 돕,서울특별시 광진구 아차산로31길 9(화양동),,,37.5414436,127.0692519,2021-01-29
한식,홍천화로숯불구이,서울특별시 광진구 천호대로110길 27(능동),,,37.5559236,127.0797402,2021-01-29
한식,숨비소리,서울특별시 광진구 화양동 112-16,고등어회,02-466-5892,37.547004,127.072799,2021-01-29
한식,콩이랑두부랑,서울특별시 광진구 구의동 244-62,순두부,02-3425-3800,37.538368,127.090389,2021-01-29
한식,태평양수산회세꼬시,서울특별시 군자로 183,광어,02-499-9192,37.557005,127.078257,2021-01-29
한식,한촌설렁탕군자점,서울특별시 광진구 군자동 242번지 1층,설렁탕,02-468-4200,37.552881,127.07686,2021-01-29
