업종명,업소명,소재지(도로명),소재지(지번),영업자시작일,업태명
일반음식점,매콤촌,"서울특별시 동대문구 무학로 123, 1층 (용두동)",서울특별시 동대문구 용두동 235-2 1층 ,2004-10-11,한식
일반음식점,혜성,서울특별시 동대문구 왕산로 247-1 (청량리동),서울특별시 동대문구 청량리동 50-18 ,1993-06-09,한식
일반음식점,경발원,"서울특별시 동대문구 망우로21길 34 (휘경동,(휘경일길 22))",서울특별시 동대문구 휘경동 261-1 (휘경일길 22) ,2015-03-19,중국식
일반음식점,대성집,"서울특별시 동대문구 무학로43길 44 (용두동,(용머리길 57))",서울특별시 동대문구 용두동 754-9 (용머리길 57) ,1981-09-07,한식
일반음식점,일미기사식당,서울특별시 동대문구 회기로 105 (회기동),서울특별시 동대문구 회기동 60-267 ,2019-07-10,한식
일반음식점,허브영양족발,"서울특별시 동대문구 천호대로 70, 지하1층 (용두동)",서울특별시 동대문구 용두동 127-18 ,2019-02-11,한식
일반음식점,을목호프,서울특별시 동대문구 전농로 130 (전농동),서울특별시 동대문구 전농동 295-30 ,2009-09-23,호프/통닭
일반음식점,메가커피,"서울특별시 동대문구 왕산로 3, 1층 (신설동)",서울특별시 동대문구 신설동 84-5 1층 ,2016-10-17,분식
일반음식점,홍능족발,"서울특별시 동대문구 홍릉로 20, 1층 (청량리동)",서울특별시 동대문구 청량리동 311 ,2020-05-26,한식
일반음식점,별미 명태랑 낙지랑,"서울특별시 동대문구 하정로5길 1, 1층 (신설동)",서울특별시 동대문구 신설동 98-8 1층 ,2015-09-23,한식
일반음식점,홍능갈비본점,"서울특별시 동대문구 제기로 85, 1,2/1,2,3층 (청량리동)","서울특별시 동대문구 청량리동 520-14 520-15,16,17,19,20,24,25 ",2016-12-30,한식
일반음식점,태능식당,"서울특별시 동대문구 망우로 131 (휘경동,(망우로 241))",서울특별시 동대문구 휘경동 112-49 (망우로 241) ,2002-07-10,한식
일반음식점,홍콩반점0410(경희대점),서울특별시 동대문구 경희대로 12-1 (회기동),서울특별시 동대문구 회기동 16-46 ,2022-06-16,중국식
일반음식점,24시해장국,서울특별시 동대문구 휘경로 12 (이문동),서울특별시 동대문구 이문동 305-59 ,1993-01-20,한식
일반음식점,한우리한방민물장어생삼겹,"서울특별시 동대문구 홍릉로5길 6, 1층 (청량리동)",서울특별시 동대문구 청량리동 703 1층 ,2019-10-16,탕류(보신용)
일반음식점,목화집,"서울특별시 동대문구 전농로15길 22 (전농동,(전농로147))",서울특별시 동대문구 전농동 295-48 (전농로147) ,2008-06-24,한식
일반음식점,지영식당,서울특별시 동대문구 전농로15길 7 (전농동),서울특별시 동대문구 전농동 295-52 ,1993-08-18,한식
일반음식점,오복치킨,서울특별시 동대문구 홍릉로 14-2 (청량리동),서울특별시 동대문구 청량리동 298-0 ,2021-03-09,호프/통닭
일반음식점,미미식당,,서울특별시 동대문구 용두동 90-2 (용두일길71) ,1980-06-17,한식
일반음식점,완도회집,서울특별시 동대문구 고산자로 503-2 (제기동),서울특별시 동대문구 제기동 719-2 ,2016-06-30,일식
일반음식점,송정,"서울특별시 동대문구 서울시립대로 129, 1층 (전농동)",서울특별시 동대문구 전농동 129-20 1층 ,2013-02-22,한식
일반음식점,홍파식당,,서울특별시 동대문구 제기동 634-0 ,1998-12-19,한식
