업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명,데이터기준일자
일반음식점,1977-08-20,염창식당,"서울특별시 양천구 목동중앙북로 97, 1층 (목동)",서울특별시 양천구 목동 514-15 1층 ,71.04,한식,2022-09-30
일반음식점,1980-04-17,신흥반점,서울특별시 양천구 목동중앙북로16길 32 (목동),서울특별시 양천구 목동 535-18 ,20.19,중국식,2022-09-30
일반음식점,1980-09-16,중화루,서울특별시 양천구 화곡로3길 1 (신월동),서울특별시 양천구 신월동 28-4 ,29.4,중국식,2022-09-30
일반음식점,1980-05-26,홍콩반점,서울특별시 양천구 곰달래로 9-1 (신월동),서울특별시 양천구 신월동 126-22 ,9.92,중국식,2022-09-30
일반음식점,1981-06-19,손오공마라탕 목동점,서울특별시 양천구 오목로50길 1 (신정동),서울특별시 양천구 신정동 994-8 ,78.62,중국식,2022-09-30
일반음식점,1982-04-22,하림맥시칸신정점,"서울특별시 양천구 중앙로29길 5, 1층 (신정동)",서울특별시 양천구 신정동 1148-1 1층 ,28.08,통닭(치킨),2022-09-30
일반음식점,1983-05-18,타코집,"서울특별시 양천구 신정중앙로 100, 1층 (신정동)",서울특별시 양천구 신정동 902-7 1층 ,37.75,일식,2022-09-30
일반음식점,1983-12-12,도채가비,"서울특별시 양천구 목동중앙북로7가길 55, 1층 (목동)",서울특별시 양천구 목동 612-6 ,52.26,정종/대포집/소주방,2022-09-30
일반음식점,1983-12-20,갈비씨신월점,"서울특별시 양천구 곰달래로 20 (신월동,1층)",서울특별시 양천구 신월동 225-17 1층 ,41,한식,2022-09-30
일반음식점,1984-08-02,전국식당,"서울특별시 양천구 신정로 167, B동 지하1층 11,12호 (신정동)","서울특별시 양천구 신정동 1315-9 지하1층 B동 11,12호",96.06,한식,2022-09-30
일반음식점,1984-06-15,복순이네맛집,"서울특별시 양천구 남부순환로 355-1, 1층 (신월동)",서울특별시 양천구 신월동 146-4 ,26.6,한식,2022-09-30
일반음식점,1984-01-24,착한닭한마리칼국수,"서울특별시 양천구 목동중앙서로7가길 39, 1층 (목동)",서울특별시 양천구 목동 792-1 ,60,한식,2022-09-30
일반음식점,1984-02-11,명성각,서울특별시 양천구 목동중앙서로 19 (목동),서울특별시 양천구 목동 790-29 ,24,중국식,2022-09-30
일반음식점,1985-09-05,염창회마차,"서울특별시 양천구 공항대로 626, 1층 (목동)",서울특별시 양천구 목동 514-4 1층 ,170.33,일식,2022-09-30
일반음식점,1985-09-21,조마루뼈다귀,서울특별시 양천구 신월로 167 (신월동),서울특별시 양천구 신월동 544-6 ,69.12,한식,2022-09-30
일반음식점,1986-03-31,고기명가,서울특별시 양천구 신월로12길 6 (신월동),서울특별시 양천구 신월동 549-5 ,54.34,한식,2022-09-30
일반음식점,1986-04-12,우장창창,"서울특별시 양천구 목동중앙서로1길 17 (목동,1층(상록수4길 6))",서울특별시 양천구 목동 792-9 1층(상록수4길 6) ,41.34,한식,2022-09-30
일반음식점,1986-12-02,어촌마을,"서울특별시 양천구 오목로 58, 1층 (신월동)",서울특별시 양천구 신월동 510-1 ,219.28,한식,2022-09-30
일반음식점,1986-02-26,신월손칼국수,서울특별시 양천구 신월로 192 (신월동),서울특별시 양천구 신월동 601-5 ,40.72,한식,2022-09-30
일반음식점,1987-11-09,14일의 설레임,서울특별시 양천구 월정로 20 (신월동),서울특별시 양천구 신월동 513-15 1층 ,117.96,한식,2022-09-30
일반음식점,1987-06-30,최고갈비 등촌역본점,"서울특별시 양천구 목동중앙북로7가길 54, 1층 (목동)",서울특별시 양천구 목동 607-42 ,65.74,한식,2022-09-30
일반음식점,1987-04-14,신월,"서울특별시 양천구 신월로 150 (신월동, 1층)",서울특별시 양천구 신월동 549-1 1층 ,30.25,한식,2022-09-30
일반음식점,1987-09-29,곰달래감자탕,서울특별시 양천구 남부순환로 368 (신월동),서울특별시 양천구 신월동 166-10 ,156.48,한식,2022-09-30
일반음식점,1987-06-10,다온메밀막국수,"서울특별시 양천구 오목로50길 8 (신정동, 1층)",서울특별시 양천구 신정동 993-4 1층 ,71.28,기타,2022-09-30
일반음식점,1987-07-19,민차이,"서울특별시 양천구 목동중앙본로 119-1, 지상2층 (목동)",서울특별시 양천구 목동 506-2 지상2층 ,66.55,중국식,2022-09-30
일반음식점,1987-06-10,소문장,서울특별시 양천구 목동중앙북로4길 20 (목동),서울특별시 양천구 목동 615-6 ,51,중국식,2022-09-30
일반음식점,1987-09-01,엔돌핀,"서울특별시 양천구 등촌로 220, 1층 (목동)",서울특별시 양천구 목동 613-2 ,21.28,까페,2022-09-30
일반음식점,1987-12-31,종이연,"서울특별시 양천구 등촌로 148 (목동, 1층)",서울특별시 양천구 목동 324-233 1층 ,60.43,까페,2022-09-30
일반음식점,1987-10-21,김밥친구,서울특별시 양천구 오목로 146 (신정동),서울특별시 양천구 신정동 946-1 ,19.81,분식,2022-09-30
일반음식점,1988-10-11,오팔식당,"서울특별시 양천구 남부순환로70길 15 (신월동, 1층)",서울특별시 양천구 신월동 974-5 1층 ,52.56,한식,2022-09-30
일반음식점,1988-06-09,충무횟집,서울특별시 양천구 목동로 179 (신정동),서울특별시 양천구 신정동 995-5 지하1층 ,85.86,횟집,2022-09-30
일반음식점,1988-05-11,페리카나치킨,"서울특별시 양천구 중앙로32길 55 (신정동,1층101호(신일길 53))",서울특별시 양천구 신정동 1022-9 1층101호(신일길 53) ,31.32,호프/통닭,2022-09-30
일반음식점,1988-08-26,피자마루,"서울특별시 양천구 목동중앙남로11길 4 (목동,(고목9길 21))",서울특별시 양천구 목동 719-11 (고목9길 21) ,32.04,패스트푸드,2022-09-30
일반음식점,1988-06-17,페리카나치킨,서울특별시 양천구 목동중앙로 49 (목동),서울특별시 양천구 목동 772-12 ,26.56,통닭(치킨),2022-09-30
일반음식점,1988-08-12,신림순대볶음,서울특별시 양천구 신정중앙로 104 (신정동),서울특별시 양천구 신정동 902-9 ,24.88,한식,2022-09-30
일반음식점,1989-06-27,두부골,서울특별시 양천구 신월로 115 (신월동),서울특별시 양천구 신월동 982-2 ,51.15,한식,2022-09-30
일반음식점,1989-05-22,신월왕족발,"서울특별시 양천구 지양로9길 2, 1층 (신월동)",서울특별시 양천구 신월동 932-2 ,39.7,한식,2022-09-30
일반음식점,1989-04-28,아방궁,"서울특별시 양천구 중앙로 274, 1,2층 (신정동)","서울특별시 양천구 신정동 1031-2 1,2층 ",90.96,중국식,2022-09-30
일반음식점,1989-11-09,아무리생각해도난짜장,서울특별시 양천구 화곡로4길 2 (신월동),서울특별시 양천구 신월동 53-2 ,26.98,중국식,2022-09-30
일반음식점,1989-11-16,대호한우곱창,"서울특별시 양천구 신월로15길 9, 1층 (신월동)",서울특별시 양천구 신월동 538-4 1층 ,35.28,한식,2022-09-30
일반음식점,1989-12-01,두리식당,"서울특별시 양천구 가로공원로 69 (신월동,(가로공원길 172))",서울특별시 양천구 신월동 47-1 (가로공원길 172) ,73,한식,2022-09-30
일반음식점,1989-07-25,특돼지 목동점,"서울특별시 양천구 오목로50길 1 (신정동,1층(양목1길 52))",서울특별시 양천구 신정동 994-8 1층(양목1길 52) ,24,중국식,2022-09-30
일반음식점,1989-07-14,어촌계장,"서울특별시 양천구 월정로38길 11, 1층 (신월동)",서울특별시 양천구 신월동 64-6 ,75.88,한식,2022-09-30
일반음식점,1989-08-28,시골식당 영양탕전문,"서울특별시 양천구 중앙로36길 22-9, 1층 (신정동)",서울특별시 양천구 신정동 1049-13 1층 ,76.5,한식,2022-09-30
일반음식점,1989-11-16,청진동해장국,서울특별시 양천구 화곡로 96 (신월동),서울특별시 양천구 신월동 60-33 ,19.04,한식,2022-09-30
일반음식점,1989-05-22,두원집,"서울특별시 양천구 신월로 321 (신정동,1층(신월로 78))",서울특별시 양천구 신정동 977-16 1층(신월로 78) ,82.81,한식,2022-09-30
일반음식점,1989-07-10,영빈관,"서울특별시 양천구 오목로 14, 2층 (신월동)",서울특별시 양천구 신월동 520-1 2층 ,99.2,중국식,2022-09-30
일반음식점,1989-08-03,아미고,서울특별시 양천구 등촌로 220 (목동),서울특별시 양천구 목동 613-2 ,21.61,까페,2022-09-30
일반음식점,1989-03-31,꽃다운 주점,"서울특별시 양천구 공항대로 620 (목동,지상 2층)",서울특별시 양천구 목동 514-1 지상 2층 ,105.04,경양식,2022-09-30
일반음식점,1989-11-28,맥주창고 홀덤펍,"서울특별시 양천구 중앙로 269, 지상1,2층 (신정동)","서울특별시 양천구 신정동 1190-6 지상1,2층 ",102.81,호프/통닭,2022-09-30
일반음식점,1989-11-11,오페라하우스,"서울특별시 양천구 목동동로8길 25 (신정동, 지하1층)",서울특별시 양천구 신정동 282-7 지하1층 ,226.08,경양식,2022-09-30
일반음식점,1989-01-10,개성식당,"서울특별시 양천구 목동중앙서로 48 (목동,(곰달래길 5))",서울특별시 양천구 목동 799-7 (곰달래길 5) ,88.36,한식,2022-09-30
일반음식점,1989-01-16,텃밭,"서울특별시 양천구 은행정로2길 3, 지상1층 (신정동)",서울특별시 양천구 신정동 1020-18 지상1층 ,78.66,한식,2022-09-30
일반음식점,1989-02-01,동키치킨,서울특별시 양천구 목동중앙로 95 (목동),서울특별시 양천구 목동 753-7 ,29.47,통닭(치킨),2022-09-30
일반음식점,1989-12-16,마니칸치킨,서울특별시 양천구 목동중앙본로 40 (목동),서울특별시 양천구 목동 749-6 ,22.24,기타,2022-09-30
일반음식점,1990-05-19,삼겹싸롱,"서울특별시 양천구 신목로 82-1, 1층 (신정동)",서울특별시 양천구 신정동 117-21 1층 ,93.67,한식,2022-09-30
일반음식점,1990-05-16,목동식당,서울특별시 양천구 목동중앙서로2길 5 (목동),서울특별시 양천구 목동 794-20 ,56.92,한식,2022-09-30
일반음식점,1990-06-11,풍성식당,"서울특별시 양천구 목동중앙북로7가길 43, 지상1,2층 (목동)","서울특별시 양천구 목동 611-21 지상1,2층 ",162.76,한식,2022-09-30
일반음식점,1990-03-22,세명반점,"서울특별시 양천구 오목로17길 25, 지상1층 (신월동)",서울특별시 양천구 신월동 480-15 지상1층 ,25,중국식,2022-09-30
일반음식점,1990-09-15,신월솥뚜껑생삼겹,서울특별시 양천구 남부순환로29길 14 (신월동),서울특별시 양천구 신월동 27-5 ,33.63,한식,2022-09-30
일반음식점,1990-06-15,양자강,"서울특별시 양천구 목동로 186 (목동, 목동아파트 7단지 에이상가 202호)",서울특별시 양천구 목동 925 목동아파트 7단지 에이상가 202호 ,20.03,중국식,2022-09-30
일반음식점,1990-11-17,일미치킨,"서울특별시 양천구 신목로14길 15, 지상1층 (신정동)",서울특별시 양천구 신정동 119-70 지상1층 ,25,기타,2022-09-30
일반음식점,1990-11-20,페리카나치킨,서울특별시 양천구 월정로 60 (신월동),서울특별시 양천구 신월동 447-4 ,27.37,통닭(치킨),2022-09-30
일반음식점,1990-05-14,페리카나,서울특별시 양천구 지양로7길 9 (신월동),서울특별시 양천구 신월동 952-1 ,27.85,통닭(치킨),2022-09-30
일반음식점,1990-04-24,착한낙지,"서울특별시 양천구 화곡로 99 (신월동,(화곡로 356))",서울특별시 양천구 신월동 23-5 (화곡로 356) ,93.48,한식,2022-09-30
일반음식점,1990-01-17,이심전심,서울특별시 양천구 남부순환로59길 14 (신월동),서울특별시 양천구 신월동 133-1 ,22.14,호프/통닭,2022-09-30
일반음식점,1990-05-15,호중식당,"서울특별시 양천구 화곡로3길 10-1 (신월동,1층( 충효원길 12 ))",서울특별시 양천구 신월동 16-25 1층( 충효원길 12 ) ,32.24,한식,2022-09-30
일반음식점,1990-06-02,페리카나목동시장체인점,"서울특별시 양천구 목동중앙남로10길 7 (목동, 1층)",서울특별시 양천구 목동 739-10 1층 ,26.74,통닭(치킨),2022-09-30
일반음식점,1990-06-02,종로김밥,서울특별시 양천구 등촌로 16 (목동),서울특별시 양천구 목동 805-1 ,25.5,분식,2022-09-30
일반음식점,1990-12-27,슈퍼떡볶이,서울특별시 양천구 오목로 38-1 (신월동),서울특별시 양천구 신월동 517-7 ,23.36,분식,2022-09-30
일반음식점,1990-06-04,로젠호프치킨,서울특별시 양천구 신남길 13 (신월동),서울특별시 양천구 신월동 557-13 ,18.2,호프/통닭,2022-09-30
일반음식점,1990-04-11,육쌈냉면,서울특별시 양천구 신정중앙로 107 (신정동),서울특별시 양천구 신정동 900-13 ,86.49,분식,2022-09-30
일반음식점,1990-06-18,아이앤지,"서울특별시 양천구 가로공원로64길 7, 1층 (신월동)",서울특별시 양천구 신월동 147-15 1층 ,31.08,통닭(치킨),2022-09-30
일반음식점,1991-09-25,한겨레식당,"서울특별시 양천구 신월로 111 (신월동,지하 1층)",서울특별시 양천구 신월동 982-4 지하 1층 ,74.39,한식,2022-09-30
일반음식점,1991-12-20,먹자골,"서울특별시 양천구 곰달래로14길 22, 1층 (신월동)",서울특별시 양천구 신월동 234-21 ,28.35,한식,2022-09-30
일반음식점,1991-12-17,다래간주,"서울특별시 양천구 신정중앙로 99, 1층 (신정동)",서울특별시 양천구 신정동 888-36 ,39,한식,2022-09-30
일반음식점,1991-10-30,남도미담생고기,"서울특별시 양천구 목동중앙서로1길 8, 1층 (목동)",서울특별시 양천구 목동 791-7 ,99.8,한식,2022-09-30
일반음식점,1991-08-14,서정갈비,서울특별시 양천구 목동중앙로1길 11 (목동),서울특별시 양천구 목동 802-1 ,78.05,한식,2022-09-30
일반음식점,1991-04-30,정읍식당,서울특별시 양천구 은행정로 69 (신정동),서울특별시 양천구 신정동 909-16 ,33.5,한식,2022-09-30
일반음식점,1991-02-06,중국성,"서울특별시 양천구 목동동로 50, 207호 (신정동,목동12단지 비상가)",서울특별시 양천구 신정동 326 목동12단지 비상가 207호,94.72,중국식,2022-09-30
일반음식점,1991-04-23,맛고을찌게마을,"서울특별시 양천구 오목로 196 (신정동,지상 2층)",서울특별시 양천구 신정동 987-1 지상 2층 ,107.52,중국식,2022-09-30
일반음식점,1991-01-26,이서방치킨,서울특별시 양천구 신월로15길 2 (신월동),서울특별시 양천구 신월동 537-6 ,34.56,통닭(치킨),2022-09-30
일반음식점,1991-10-11,조아포차호프,"서울특별시 양천구 목동중앙본로 99-1 (목동, 1층)",서울특별시 양천구 목동 497-8 1층 ,21.53,기타,2022-09-30
일반음식점,1991-07-11,아하 멕시칸치킨,"서울특별시 양천구 목동중앙남로11길 29, 1층 (목동)",서울특별시 양천구 목동 722-2 1층 ,27.2,통닭(치킨),2022-09-30
일반음식점,1991-12-17,하림멕시칸,서울특별시 양천구 월정로46길 11 (신월동),서울특별시 양천구 신월동 20-29 ,16.58,통닭(치킨),2022-09-30
일반음식점,1991-10-22,다모,"서울특별시 양천구 신월로 321, 지상1층 (신정동)",서울특별시 양천구 신정동 977-16 지상1층 ,90,일식,2022-09-30
일반음식점,1991-12-12,나영,"서울특별시 양천구 목동중앙북로 85, 2층 (목동)",서울특별시 양천구 목동 513-21 2층 ,172.33,한식,2022-09-30
일반음식점,1992-05-21,원조장충왕족발,서울특별시 양천구 오목로 150 (신정동),서울특별시 양천구 신정동 947-2 ,98.25,한식,2022-09-30
일반음식점,1992-03-25,신정4동점굽네치킨,"서울특별시 양천구 오목로 172, 지하101호,102호 (신정동, 뉴타운아파트)","서울특별시 양천구 신정동 952-1 뉴타운아파트 지하101호,102호 ",76.92,호프/통닭,2022-09-30
일반음식점,1992-07-02,대로식당,서울특별시 양천구 지양로 4 (신월동),서울특별시 양천구 신월동 994-4 ,89.61,한식,2022-09-30
일반음식점,1992-06-30,홍농숯불갈비,"서울특별시 양천구 신월로15길 1, 지상1,2층 (신월동)","서울특별시 양천구 신월동 544-4 지상1,2층 ",205.51,한식,2022-09-30
일반음식점,1992-05-06,미미호프,서울특별시 양천구 지양로9길 3 (신월동),서울특별시 양천구 신월동 931-6 ,37.8,한식,2022-09-30
일반음식점,1992-06-30,왔다포차식당,"서울특별시 양천구 신정중앙로 8, 1층 (신정동)",서울특별시 양천구 신정동 934-4 1층 ,49.5,한식,2022-09-30
일반음식점,1992-05-18,3.3돼지숯불갈비,서울특별시 양천구 신월로 124 (신월동),서울특별시 양천구 신월동 1002-3 ,42.04,한식,2022-09-30
일반음식점,1992-11-07,봉피양,서울특별시 양천구 신월로 112 (신월동),서울특별시 양천구 신월동 1003-3 ,197.22,한식,2022-09-30
일반음식점,1992-06-11,미소갈비,"서울특별시 양천구 화곡로4길 32, 1층 (신월동)",서울특별시 양천구 신월동 51-6 1층 ,102,한식,2022-09-30
일반음식점,1992-04-04,마포소곱창,"서울특별시 양천구 중앙로34길 30, 지상1층 1호,14호 (신정동)","서울특별시 양천구 신정동 1030-6 지상1층 1호,14호",23.76,한식,2022-09-30
일반음식점,1992-11-05,베트남(VN)쌀국수,서울특별시 양천구 신월로 148 (신월동),서울특별시 양천구 신월동 548-7 ,48.74,한식,2022-09-30
일반음식점,1992-10-08,닭한마리,"서울특별시 양천구 곰달래로5길 83, 1층 (신월동)",서울특별시 양천구 신월동 145-3 ,34.47,한식,2022-09-30
일반음식점,1992-10-31,착한낙지목동점,"서울특별시 양천구 국회대로 289, 1층 (목동)",서울특별시 양천구 목동 802-9 ,309.57,한식,2022-09-30
일반음식점,1992-04-08,우미장,"서울특별시 양천구 월정로 66 (신월동,1층(당곡길 11))",서울특별시 양천구 신월동 447-1 1층(당곡길 11) ,19.72,중국식,2022-09-30
일반음식점,1992-05-01,드림(Dream),서울특별시 양천구 목동중앙로 131-1 (목동),서울특별시 양천구 목동 199-70 ,55.25,경양식,2022-09-30
일반음식점,1992-06-30,제주하루방똥돼지,서울특별시 양천구 목동남로4길 15 (신정동),서울특별시 양천구 신정동 203-13 ,39.77,한식,2022-09-30
일반음식점,1992-04-16,향촌,"서울특별시 양천구 목동중앙서로 46, 지하 1층 (목동)",서울특별시 양천구 목동 799-5 ,145,한식,2022-09-30
일반음식점,1993-07-01,용두본쭈꾸미,"서울특별시 양천구 월정로 30 (신월동,1층(당곡길 47))",서울특별시 양천구 신월동 445-12 1층(당곡길 47) ,83.18,한식,2022-09-30
일반음식점,1993-07-20,숲속,"서울특별시 양천구 등촌로 220 (목동, 104호)",서울특별시 양천구 목동 613-2 104호 ,26.4,까페,2022-09-30
일반음식점,1993-07-23,홍두깨손칼국수,"서울특별시 양천구 중앙로 258, 1층 2호 (신정동)",서울특별시 양천구 신정동 1032-8 외 5필지 2호,30.4,분식,2022-09-30
일반음식점,1993-09-13,목동샤인호프,서울특별시 양천구 목동중앙남로11길 4 (목동),서울특별시 양천구 목동 719-11 ,32.4,기타,2022-09-30
일반음식점,1993-10-06,뉴양천기사식당,서울특별시 양천구 신월로 200 (신월동),서울특별시 양천구 신월동 602-8 ,117.48,한식,2022-09-30
일반음식점,1993-10-30,소문난순대집,"서울특별시 양천구 목동중앙북로 7, 1층 102호 (목동, 신한이모르젠)",서울특별시 양천구 목동 960 신한이모르젠 ,40.75,한식,2022-09-30
일반음식점,1993-12-31,광명대창집,서울특별시 양천구 목동동로 262 (목동),서울특별시 양천구 목동 406-205 ,44.52,한식,2022-09-30
일반음식점,1993-04-21,일등삼겹살데이,서울특별시 양천구 곰달래로5길 36 (신월동),서울특별시 양천구 신월동 109-18 ,64.34,한식,2022-09-30
일반음식점,1993-04-09,전원식당,"서울특별시 양천구 신정로 167, B동 지하1층 15호 (신정동)",서울특별시 양천구 신정동 1315-9 지하1층 B동 15호,36,한식,2022-09-30
일반음식점,1993-06-18,칸지,"서울특별시 양천구 목동동로 264, 1,2층 (목동)","서울특별시 양천구 목동 406-206 1,2층 ",287.92,한식,2022-09-30
일반음식점,1993-07-10,모듬집,서울특별시 양천구 목동중앙서로1길 12 (목동),서울특별시 양천구 목동 791-5 ,80.27,한식,2022-09-30
일반음식점,1993-10-23,사시미야쎈 구완도바다횟집,서울특별시 양천구 목동동로 266 (목동),서울특별시 양천구 목동 406-25 ,81.36,횟집,2022-09-30
일반음식점,1993-07-01,처갓집양념치킨신정7점,서울특별시 양천구 목동남로4길 21 (신정동),서울특별시 양천구 신정동 203-1 ,38.48,통닭(치킨),2022-09-30
일반음식점,1993-09-22,새천년 포장마차,"서울특별시 양천구 월정로 16, 1층 (신월동)",서울특별시 양천구 신월동 513-16 ,23.4,한식,2022-09-30
일반음식점,1993-10-08,남원골추어탕,서울특별시 양천구 월정로 43 (신월동),서울특별시 양천구 신월동 428-5 ,82,한식,2022-09-30
일반음식점,1993-10-11,해피데이,서울특별시 양천구 중앙로46길 2 (신정동),서울특별시 양천구 신정동 972-7 ,79,호프/통닭,2022-09-30
일반음식점,1993-10-14,칸꼬시,"서울특별시 양천구 등촌로 66, 1층 (목동)",서울특별시 양천구 목동 731-10 1층 ,23.12,호프/통닭,2022-09-30
일반음식점,1993-04-29,맛고을,서울특별시 양천구 신목로 58-2 (신정동),서울특별시 양천구 신정동 296-168 ,43.32,한식,2022-09-30
일반음식점,1993-04-29,베르린호프,"서울특별시 양천구 중앙로46길 14 (신정동,(은행정1길 14))",서울특별시 양천구 신정동 974-1 (은행정1길 14) ,23.65,호프/통닭,2022-09-30
일반음식점,1993-05-07,지리산생고기,"서울특별시 양천구 오목로54길 8, 지상1층 (목동)",서울특별시 양천구 목동 405-70 지상1층 ,129.53,한식,2022-09-30
일반음식점,1994-02-17,기사님식당,서울특별시 양천구 지양로 91 (신월동),서울특별시 양천구 신월동 933-1 ,29.05,한식,2022-09-30
일반음식점,1994-03-21,남원추어탕,"서울특별시 양천구 목동동로10길 17, 1~2층 (신정동)",서울특별시 양천구 신정동 296-149 ,208,한식,2022-09-30
일반음식점,1994-03-25,황가네감자탕,"서울특별시 양천구 신월로 120, 1층 102호 (신월동, 레미앙아파트)",서울특별시 양천구 신월동 1002-1 레미앙아파트 102호,189.57,한식,2022-09-30
일반음식점,1994-03-26,신월뽈살구이,서울특별시 양천구 남부순환로33길 8 (신월동),서울특별시 양천구 신월동 79-1 ,51.62,한식,2022-09-30
일반음식점,1994-05-04,신정식당,"서울특별시 양천구 중앙로46길 5, 1층 (신정동)",서울특별시 양천구 신정동 969-19 ,31.98,한식,2022-09-30
일반음식점,1994-07-23,매운꼬꼬춘천닭갈비,"서울특별시 양천구 목동중앙북로7가길 16, 1층 (목동)",서울특별시 양천구 목동 609-13 1층 ,96.08,한식,2022-09-30
일반음식점,1994-07-23,두메산골,서울특별시 양천구 목동중앙북로8라길 16-1 (목동),서울특별시 양천구 목동 624-7 ,67.14,한식,2022-09-30
일반음식점,1994-08-10,미도아구찜,서울특별시 양천구 목동중앙북로 122 (목동),서울특별시 양천구 목동 521 ,82.5,한식,2022-09-30
일반음식점,1994-09-24,능이오리백숙,"서울특별시 양천구 중앙로34길 23, 1층 (신정동)",서울특별시 양천구 신정동 1031-20 1층 ,75.15,한식,2022-09-30
일반음식점,1994-10-06,상도연탄갈비,"서울특별시 양천구 신목로 100-2, 1~2층 (목동)",서울특별시 양천구 목동 404-129 ,111.78,식육(숯불구이),2022-09-30
일반음식점,1994-11-15,설악산칡냉면,"서울특별시 양천구 목동중앙남로3가길 59 (목동,상가동 101~102호(고목8길 5))",서울특별시 양천구 목동 722-5 상가동 101~102호(고목8길 5) ,45.3,한식,2022-09-30
일반음식점,1994-04-16,용문각,서울특별시 양천구 남부순환로60길 2 (신월동),서울특별시 양천구 신월동 198-13 ,24.64,중국식,2022-09-30
일반음식점,1994-11-14,긴급뉴스,"서울특별시 양천구 목동중앙본로 119, 2층 (목동)",서울특별시 양천구 목동 506-3 2층 ,88.12,호프/통닭,2022-09-30
일반음식점,1994-02-18,이영후족발보쌈,"서울특별시 양천구 중앙로46길 3, 1층 (신정동)",서울특별시 양천구 신정동 971-13 ,80,정종/대포집/소주방,2022-09-30
일반음식점,1994-03-30,옛날칼국수,서울특별시 양천구 목동동로8길 31-2 (신정동),서울특별시 양천구 신정동 282-56 ,49.26,한식,2022-09-30
일반음식점,1994-05-09,신월해장국,서울특별시 양천구 남부순환로 344 (신월동),서울특별시 양천구 신월동 49-8 ,29.62,한식,2022-09-30
일반음식점,1994-05-24,소리바다,"서울특별시 양천구 화곡로 50 (신월동, 지하1층)",서울특별시 양천구 신월동 54-1 지하1층 ,126.91,호프/통닭,2022-09-30
일반음식점,1994-06-07,하림맥시칸,"서울특별시 양천구 은행정로 20 (신정동, 1층)",서울특별시 양천구 신정동 1018-13 1층 ,31.06,통닭(치킨),2022-09-30
일반음식점,1994-06-15,라이스,서울특별시 양천구 신월로 165 (신월동),서울특별시 양천구 신월동 544-9 ,40.08,호프/통닭,2022-09-30
일반음식점,1994-06-17,끌어모아,"서울특별시 양천구 가로공원로 119 (신월동, 1층)",서울특별시 양천구 신월동 81-21 1층 ,35.49,기타,2022-09-30
일반음식점,1994-06-20,대중호프,서울특별시 양천구 오목로 142 (신정동),서울특별시 양천구 신정동 945-4 ,35.66,호프/통닭,2022-09-30
일반음식점,1994-07-07,영암식당,서울특별시 양천구 중앙로46길 2 (신정동),서울특별시 양천구 신정동 972-7 ,15.99,한식,2022-09-30
일반음식점,1994-07-12,페리카나치킨,서울특별시 양천구 신월로 200 (신월동),서울특별시 양천구 신월동 602-8 ,28.93,통닭(치킨),2022-09-30
일반음식점,1994-07-14,베누스,서울특별시 양천구 목동중앙서로 9 (목동),서울특별시 양천구 목동 791-12 ,23.8,까페,2022-09-30
일반음식점,1994-08-30,페리카나,"서울특별시 양천구 목동동로 50, A동 111호 (신정동,목동아파트 12단지)",서울특별시 양천구 신정동 326 목동아파트 12단지 A동 111호,20.88,통닭(치킨),2022-09-30
일반음식점,1994-08-31,황소곱창,"서울특별시 양천구 목동동로 266, 지상1층 (목동)",서울특별시 양천구 목동 406-25 ,81,한식,2022-09-30
일반음식점,1994-09-26,처가집양념통닭,"서울특별시 양천구 목동서로 280 (신정동,8단지상가 101호)",서울특별시 양천구 신정동 314 8단지상가 101호 ,16.12,통닭(치킨),2022-09-30
일반음식점,1994-11-11,69닭갈비,서울특별시 양천구 가로공원로 94 (신월동),서울특별시 양천구 신월동 148-1 ,35.62,한식,2022-09-30
일반음식점,1994-11-26,이레분식,"서울특별시 양천구 목동중앙로 135, 105동 106호 (목동,우성대원)",서울특별시 양천구 목동 199-46 우성대원 105동 106호,24.63,분식,2022-09-30
일반음식점,1995-02-21,이모네곱창,서울특별시 양천구 남부순환로79길 8 (신월동),서울특별시 양천구 신월동 557-1 ,80.6,한식,2022-09-30
일반음식점,1995-03-30,미객 가마솥순대국,"서울특별시 양천구 오목로 337, 1층 (목동)",서울특별시 양천구 목동 406-180 1층 ,12.44,한식,2022-09-30
일반음식점,1995-04-17,춘천집,서울특별시 양천구 신목로 93 (목동),서울특별시 양천구 목동 405-92 ,48.95,한식,2022-09-30
