업소명,소재지 지번주소,소재지 도로명주소,업태,주된음식,전화번호
청사초롱에프앤디㈜,,"서울특별시 은평구 진흥로11길 1, 지하1층~지상2층",한식,"소고기, 돼지고기",02-356-4568
산호海,,"서울특별시 은평구 북한산로 281-15, 1층",일식,"대구지리, 복지리",02-962-2110
연신오리,,"서울특별시 은평구 통일로 888, 1층",한식,오리,02-3157-5262
돼지우리,,"서울특별시 은평구 응암로13길 5, 1층",한식,삼겹살,02-306-5674
미스터아구DMC점,,"서울특별시 은평구 수색로 190, 증산동빌딩 1층",한식,아구찜,02-304-8680
등촌샤브칼국수 불광점,,"서울특별시 은평구 통일로66길 4-10, 1층",한식,"등촌샤브칼국수, 닭한마리",02-357-3459
개성찹쌀순대해장국,,"서울특별시 은평구 통일로 66길 4-7, 1,2층",한식,순대국,02-387-6080
곰탱이돈가,,"서울특별시 은평구 역말로 6길 2, 1층",한식,"새삼겹살, 대패삼겹살",-
봉평옹심이메밀칼국수,,"서울특별시 은평구 연서로 247, 1층",한식,옹심이메밀칼국수,02-354-5121
봉평옹심이메밀칼국수 불광점,,"서울특별시 은평구 진흥로15길 28-1, 1층",한식,옹심이메밀칼국수,02-386-0008
상하이 문,,"서울특별시 은평구 응암로 247, 1층 (응암동)",중국식,자장면,02-355-3822
우정갈비,,"서울특별시 은평구 증산서길 79, 상가동 1층 101호 (증산동)",한식,돼지갈비,02-304-5526
할매순대국,,서울특별시 은평구 증산서길 126 (증산동),한식,순대국,02-302-3483
무안갯벌낙지,,"서울특별시 은평구 진흥로 11, 1,2층 (역촌동)",한식,낙지전골,02-359-4017
삼오순대국,,서울특별시 은평구 불광로1길 2 (대조동),한식,순대국,02-387-2605
동해바다,,서울특별시 은평구 연서로 207 (갈현동),일식,일식,02-352-9333
이가네설렁탕,,서울특별시 은평구 진흥로 130 (녹번동),한식,설렁탕,02-387-2246
항아리,,"서울특별시 은평구 통일로66길 4-11 (불광동, 1층)",한식,홍어찜,02-383-0881
진곰 숯불갈비,,"서울특별시 은평구 증산로 345, 1,2층 (증산동)",한식,설렁탕,02-307-9195
명가 쌈밥,,"서울특별시 은평구 불광로 40-2 (불광동, 지상1층)",한식,오리,02-358-2343
새만포면옥,,"서울특별시 은평구 연서로 171 (갈현동, 지상1,2층)",한식,냉면,02-389-3917
동굴과화로구이,,"서울특별시 은평구 은평로 185, 2층 (녹번동)",한식,돼지갈비,02-353-8592
보리네 생고깃간,,"서울특별시 은평구 서오릉로 15, 지하1층 (녹번동)",한식,고기,02-6013-6992
뽕잎냉면샤브샤브칼국수,,"서울특별시 은평구 은평로 205-1, 1층 (녹번동)",한식,냉면,02-358-5866
삼대족발 연신내점,,"서울특별시 은평구 연서로29길 14-18, 1,2층 (갈현동)",한식,족발,02-356-7266
고산면옥,,"서울특별시 은평구 연서로 257 (불광동, 34호)",한식,냉면,02-385-7775
다리원,,"서울특별시 은평구 증산서길 135, 1층동 (증산동)",중국식,자장면,02-376-0604
공화춘,,"서울특별시 은평구 연서로 304 (불광동, 1,2층)",중국식,짬뽕,02-354-9955
남원추어탕,,"서울특별시 은평구 연서로 170, 1,2층 (대조동)",한식,추어탕,02-389-1070
나들목 아구찜 곱창전골,,"서울특별시 은평구 갈현로36길 17-1, 1층 (갈현동)",한식,아구찜,-
평양초계탕 막국수,,"서울특별시 은평구 대서문길 9, 1층 (진관동)",한식,초계탕,02-388-2977
은평감자국,,서울특별시 은평구 응암로 287 (응암동),한식,감자국,02-389-4458
