업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
일반음식점,개풍반점,"서울특별시 은평구 통일로 753, 1,2층 (대조동)","서울특별시 은평구 대조동 3-5 1,2층",83.97,02-0355-3407,중국식
일반음식점,목노집,서울특별시 은평구 연서로28길 10 (대조동),서울특별시 은평구 대조동 197-2,74.2,02-0355-1652,정종/대포집/소주방
일반음식점,전주식당,서울특별시 은평구 통일로 931 (갈현동),서울특별시 은평구 갈현동 390-3,21.45,02- 358-7620,한식
일반음식점,네네치킨,"서울특별시 은평구 역말로7길 3-2 (역촌동, 1층)",서울특별시 은평구 역촌동 10-4 1층,27.54,02-0385-6293,통닭(치킨)
일반음식점,주당 주유소,서울특별시 은평구 응암로21길 1 (응암동),서울특별시 은평구 응암동 578-96,74.98,,호프/통닭
일반음식점,제일정해물,서울특별시 은평구 응암로 200 (응암동),서울특별시 은평구 응암동 601-74,89.2,02-0302-3289,일식
일반음식점,상하이 문,"서울특별시 은평구 응암로 247, 1층 (응암동)",서울특별시 은평구 응암동 124-17 1층,198.34,02- 355-3533,중국식
일반음식점,페리카나치킨(응암점),서울특별시 은평구 응암로 247 (응암동),서울특별시 은평구 응암동 124-17,26.24,02-0303-6479,통닭(치킨)
일반음식점,처가집식당,서울특별시 은평구 연서로4길 20 (역촌동),서울특별시 은평구 역촌동 37-2,27.23,02- 353-9021,한식
일반음식점,코스모스분식,서울특별시 은평구 연서로15길 2 (구산동),서울특별시 은평구 구산동 1-16,41.13,02-0358-6623,분식
일반음식점,서향원,서울특별시 은평구 연서로9길 5-15 (역촌동),서울특별시 은평구 역촌동 45-15,55.8,02-0355-3667,중국식
일반음식점,오오모리,서울특별시 은평구 통일로 679 (녹번동),서울특별시 은평구 녹번동 117-17,34.34,02- 359-1325,호프/통닭
일반음식점,폭스,"서울특별시 은평구 서오릉로 199, 지하1층 (구산동)",서울특별시 은평구 구산동 202-5 지하1층,36.82,02- 384-1271,경양식
일반음식점,통나무분식센타,서울특별시 은평구 서오릉로 231 (구산동),서울특별시 은평구 구산동 321-96,27.09,02-0384-8268,분식
일반음식점,우정갈비,"서울특별시 은평구 증산서길 79, 상가동 1층 101호 (증산동)",서울특별시 은평구 증산동 255 상가동 1층 101호,60.9,02  -304 -5526,한식
일반음식점,토리촌,"서울특별시 은평구 불광로 25, 1층 (대조동)",서울특별시 은평구 대조동 12-29 1층,57.27,02- 352-2555,한식
일반음식점,싸리골,서울특별시 은평구 갈현로 171 (구산동),서울특별시 은평구 구산동 202-18,65.83,02-0355-2086,한식
일반음식점,오비호프,서울특별시 은평구 응암로11길 3 (응암동),서울특별시 은평구 응암동 598-18,22.4,02- 309-3795,호프/통닭
일반음식점,성원식당,"서울특별시 은평구 증산로9길 7, 1층 (증산동)",서울특별시 은평구 증산동 167-5 1층,27.7,02-0304-2710,한식
일반음식점,장수갈비,,"서울특별시 은평구 응암동 590-12 ,13호",174.53,02- 303-7363,한식
일반음식점,불광골,"서울특별시 은평구 서오릉로 234-1, 1층 (갈현동)",서울특별시 은평구 갈현동 327-152 1층,86.14,02- 384-8890,한식
일반음식점,젤라,서울특별시 은평구 통일로 928 (불광동),서울특별시 은평구 불광동 494,18.9,02- 354-4330,경양식
일반음식점,교촌치킨,"서울특별시 은평구 은평로 22 (신사동, 1층)",서울특별시 은평구 신사동 29-13 1층,60.34,02- 375-8295,통닭(치킨)
일반음식점,맞짱,"서울특별시 은평구 연서로 230-9, 1층 (대조동)",서울특별시 은평구 대조동 185-68 1층,20.8,02- 356-9193,한식
일반음식점,두메산골,"서울특별시 은평구 응암로12길 12-43, 1층 (응암동)",서울특별시 은평구 응암동 751-5,47.21,02- 375-4379,한식
일반음식점,주천,"서울특별시 은평구 통일로 683, 2층 (녹번동)",서울특별시 은평구 녹번동 117-13 2층,26.52,02-0355-9396,호프/통닭
일반음식점,송도회집,서울특별시 은평구 응암로 324 (응암동),서울특별시 은평구 응암동 103-35,31.39,02-0384-7232,일식
일반음식점,김밥천국,"서울특별시 은평구 은평로 233, 1층 (녹번동)",서울특별시 은평구 녹번동 258 1층,50.42,02- 353-8804,김밥(도시락)
일반음식점,이맛치킨,서울특별시 은평구 증산로15길 24 (신사동),서울특별시 은평구 신사동 340-25,17.9,02-0374-2886,통닭(치킨)
일반음식점,골목집,서울특별시 은평구 은평로21길 4 (녹번동),서울특별시 은평구 녹번동 43-7,15.81,02-0384-0722,한식
일반음식점,도원장,"서울특별시 은평구 가좌로7나길 4-1, 1층 (응암동)",서울특별시 은평구 응암동 732-20,33,02-0306-6386,한식
일반음식점,무지개기사식당,서울특별시 은평구 진흥로 120 (녹번동),서울특별시 은평구 녹번동 144-59,42.8,02-0356-2340,한식
일반음식점,무교낙지,서울특별시 은평구 통일로 722 (불광동),서울특별시 은평구 불광동 281-171,24.96,02- 356-4411,한식
일반음식점,응암동돈까스,"서울특별시 은평구 응암로 338, 1층 (응암동)",서울특별시 은평구 응암동 87-18 1층,50.23,02- 352-2414,경양식
일반음식점,투다리,"서울특별시 은평구 증산서길 159, 1층 (증산동)",서울특별시 은평구 증산동 158-1 1층,19.8,02- 306-2591,호프/통닭
일반음식점,우래정,"서울특별시 은평구 연서로 315 (불광동, 1층)",서울특별시 은평구 불광동 104-58 1층,66.05,02-  38-3636,한식
일반음식점,맛자랑,"서울특별시 은평구 통일로 931, 1층 (갈현동)",서울특별시 은평구 갈현동 390-3 1층,28.71,02- 357-1769,한식
일반음식점,펀비어킹,"서울특별시 은평구 응암로 339, 2층 (응암동)",서울특별시 은평구 응암동 88-1 2층,160.27,,호프/통닭
일반음식점,엉터리네 숯불꼼장어,"서울특별시 은평구 통일로 715-9, 1층 (대조동)",서울특별시 은평구 대조동 15-37 1층,16.56,02-0387-1196,한식
일반음식점,조마루뼈다귀감자탕,"서울특별시 은평구 은평로 56 (신사동, 1층)",서울특별시 은평구 신사동 22-37 1층,94.7,02-3486-8669,한식
일반음식점,맹구네드럼통숯불구이,"서울특별시 은평구 연서로 174, 1층 (대조동)",서울특별시 은평구 대조동 220-34 1층,62.13,02- 358-1650,한식
일반음식점,다래식당,"서울특별시 은평구 연서로 201-1 (갈현동, 1층)",서울특별시 은평구 갈현동 460-20 1층,81.91,02-0359-0590,한식
일반음식점,민속막국수,서울특별시 은평구 갈현로 316 (갈현동),서울특별시 은평구 갈현동 419-28,76.5,02- 385-8869,한식
일반음식점,대포항회,"서울특별시 은평구 통일로 931 (갈현동, 지하1층)",서울특별시 은평구 갈현동 390-3 지하1층,93.48,02- 356-8844,일식
일반음식점,생노가리,,서울특별시 은평구 대조동 15-19 (지상1층),31.25,02-0384-6823,한식
일반음식점,함경도아바이순대집,서울특별시 은평구 은평로 60 (신사동),서울특별시 은평구 신사동 22-1,54.49,02-0305-9547,한식
일반음식점,코만도,서울특별시 은평구 은평로11길 12 (녹번동),서울특별시 은평구 녹번동 156-42,78.4,02- 353-7811,경양식
일반음식점,까치경양식,"서울특별시 은평구 수색로 281-1, 2층 (수색동)",서울특별시 은평구 수색동 376-2,37.21,02-0000-0000,경양식
일반음식점,키스,"서울특별시 은평구 수색로18길 6-1, 지하1층 (수색동)",서울특별시 은평구 수색동 365-5 지하1층,33.42,02- 375-7790,까페
일반음식점,황제,"서울특별시 은평구 연서로33길 3 (불광동, 지하1층)",서울특별시 은평구 불광동 366-6 지하1층,43.22,02- 355-8272,경양식
일반음식점,임진강장어부락,"서울특별시 은평구 진흥로 190, 1,2층 (녹번동)","서울특별시 은평구 녹번동 118-20 1,2층",137.52,02- 354-3282,한식
일반음식점,불광 얼큰 즉석우동,"서울특별시 은평구 진흥로 150, 1층 (녹번동)",서울특별시 은평구 녹번동 131-154,24.42,02-0389-2519,한식
일반음식점,둥지치킨,서울특별시 은평구 통일로 724 (불광동),서울특별시 은평구 불광동 281-100,23.56,02-    -,통닭(치킨)
일반음식점,혜원삼계탕,"서울특별시 은평구 녹번로 69, 지하1층,지상1,2층 (녹번동)","서울특별시 은평구 녹번동 117-60 지하1층,지상1,2층",115.24,02-0384-3221,한식
일반음식점,처갓집양념치킨 역촌점,서울특별시 은평구 진흥로1길 29 (역촌동),서울특별시 은평구 역촌동 34-1,21.08,02- 384-8008,통닭(치킨)
일반음식점,연화,"서울특별시 은평구 수색로18길 4-17, 1층 (수색동)",서울특별시 은평구 수색동 367-8 1층,20.48,02- 305-5912,정종/대포집/소주방
일반음식점,별궁,"서울특별시 은평구 수색로18길 4-17, 1층 (수색동)",서울특별시 은평구 수색동 367-8 1층,16.26,02-0382-3423,한식
일반음식점,두레박,서울특별시 은평구 수색로18길 4-17 (수색동),서울특별시 은평구 수색동 367-8,13.76,02- 304-6867,한식
일반음식점,삼냉이골,"서울특별시 은평구 통일로65길 10-8, 1층 (대조동)",서울특별시 은평구 대조동 15-10 1층,10.12,02- 386-2616,한식
일반음식점,소문난순대,서울특별시 은평구 불광로 3 (대조동),서울특별시 은평구 대조동 25-8,25.67,02-0385-4878,한식
일반음식점,전주추어탕,"서울특별시 은평구 연서로26길 7, 1층 (대조동)",서울특별시 은평구 대조동 197-12 1층,35.08,02- 383-7487,한식
일반음식점,비어팝,서울특별시 은평구 갈현로 9 (신사동),서울특별시 은평구 신사동 17-9,29.7,02- 389-8994,호프/통닭
일반음식점,동해바다,서울특별시 은평구 연서로 207 (갈현동),서울특별시 은평구 갈현동 460-14,44.91,02- 352-9333,일식
일반음식점,우주미,"서울특별시 은평구 은평로 185, 지하1층 (녹번동)",서울특별시 은평구 녹번동 185 지하1층,146.88,02- 354-7788,한식
일반음식점,마포소금구이,"서울특별시 은평구 통일로69길 10, 1층 (대조동)",서울특별시 은평구 대조동 3-47 1층,78.15,02- 388-2557,한식
일반음식점,멕시칸치킨,"서울특별시 은평구 통일로63길 21, 1층 (녹번동)",서울특별시 은평구 녹번동 118-81 1층,31.01,02- 382-5358,통닭(치킨)
일반음식점,장군집,"서울특별시 은평구 연서로28길 1-1, 1층 (대조동)",서울특별시 은평구 대조동 185-46 1층,25.92,02- 355-5326,한식
일반음식점,향미루,서울특별시 은평구 은평로 47 (신사동),서울특별시 은평구 신사동 3-16,51.84,02- 354-0234,중국식
일반음식점,차돌식당,"서울특별시 은평구 연서로 253-11 (불광동, 1층)",서울특별시 은평구 불광동 310-20 1층,27.09,02- 389-6840,한식
일반음식점,빵구분식,"서울특별시 은평구 연서로34길 18 (불광동, 지하 1층)",서울특별시 은평구 불광동 346-23 지하 1층,23.1,02- 384-9453,분식
일반음식점,중화원,서울특별시 은평구 통일로66길 10-16 (불광동),서울특별시 은평구 불광동 281-128,109.64,02- 353-3379,중국식
일반음식점,명당만두,,서울특별시 은평구 응암동 293-6,19.61,02-0309-0339,분식
일반음식점,대풍장어,"서울특별시 은평구 수색로 262, 2층 (수색동)",서울특별시 은평구 수색동 368-1 2층,67.45,02- 309-8717,일식
일반음식점,일미양꼬치,"서울특별시 은평구 연서로29길 14-16, 1층 (갈현동)",서울특별시 은평구 갈현동 399-24 1층,32.67,02- 391-7018,호프/통닭
일반음식점,백년백세전통삼계탕,서울특별시 은평구 은평로 205-5 (녹번동),서울특별시 은평구 녹번동 73-12,106.81,02-0388-9700,한식
