업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
휴게음식점,청자다방,"서울특별시 은평구 은평로10길 2 (응암동, 지하1층)",서울특별시 은평구 응암동 103-2 (지하1층),137.6,02- 355-6446,다방
휴게음식점,산호,,서울특별시 은평구 진관동 284-1 (지하1층),73.98,02- 355-8672,다방
휴게음식점,미도다방,"서울특별시 은평구 진흥로 199, 지하1층 (불광동)",서울특별시 은평구 불광동 285-30,90.93,02- 359-7417,다방
휴게음식점,서호다방,,서울특별시 은평구 진관동 95-11 (지상2층),30.25,02- 384-8511,다방
휴게음식점,동궁다방,"서울특별시 은평구 은평로9길 16, 지하1층 (녹번동)",서울특별시 은평구 녹번동 176-17 지하1층,63.36,02- 389-0419,다방
휴게음식점,미니스톱(녹번점),서울특별시 은평구 통일로 620 (녹번동),서울특별시 은평구 녹번동 39-4,10.92,02- 309-1305,편의점
휴게음식점,태인로손(녹번점),서울특별시 은평구 진흥로 184-1 (녹번동),서울특별시 은평구 녹번동 118-35,6.25,02-0382-9322,편의점
휴게음식점,배스킨라빈스 연신내역점,"서울특별시 은평구 통일로 855-7 (갈현동, 1,2층)","서울특별시 은평구 갈현동 398-7 1,2층",140,02-0357-5393,패스트푸드
휴게음식점,영주다방,,서울특별시 은평구 응암동 332-29 (지하1층),48.16,02- 376-5889,다방
휴게음식점,베스킨라빈스,서울특별시 은평구 응암로 181 (응암동),서울특별시 은평구 응암동 598-1,59.4,02- 303-9990,패스트푸드
휴게음식점,.,,서울특별시 은평구 갈현동 274-51,19.68,02- 396-1164,과자점
휴게음식점,피자스쿨,"서울특별시 은평구 통일로 741-1, 1층 (대조동)",서울특별시 은평구 대조동 6-1,23.8,02- 387-5427,패스트푸드
휴게음식점,조아저씨햄버거,서울특별시 은평구 서오릉로 177 (구산동),서울특별시 은평구 구산동 199-1,21.08,02- 354-4556,패스트푸드
휴게음식점,나인,"서울특별시 은평구 통일로 684 (녹번동, 국립보건원연금매점내)",서울특별시 은평구 녹번동 5 국립보건원연금매점내,23.49,02- 382-5428,일반조리판매
휴게음식점,피터팬,서울특별시 은평구 은평로 193 (녹번동),서울특별시 은평구 녹번동 206,1,02- 359-8588,편의점
휴게음식점,증산손만두,서울특별시 은평구 증산로3길 12 (증산동),서울특별시 은평구 증산동 184-9,30.61,02- 305-8819,일반조리판매
휴게음식점,도미노피자(연신내점),"서울특별시 은평구 통일로 797, 1층 (대조동)",서울특별시 은평구 대조동 188-7 1층,89.59,02- 351-3077,패스트푸드
휴게음식점,도미노피자(은평점),서울특별시 은평구 연서로 35 (역촌동),서울특별시 은평구 역촌동 83-1,39,02- 359-3082,패스트푸드
휴게음식점,피자헛 응암본점,"서울특별시 은평구 가좌로 167, 1층 (응암동)",서울특별시 은평구 응암동 678-1,72,02- 373-1065,패스트푸드
휴게음식점,커피 피플,서울특별시 은평구 갈현로29길 12-1 (갈현동),서울특별시 은평구 갈현동 448-42,29,0064-0744-3350,기타 휴게음식점
휴게음식점,피자파자,"서울특별시 은평구 증산로17길 39 (신사동,지상1층)",서울특별시 은평구 신사동 346-1 지상1층,23.76,,패스트푸드
휴게음식점,또와분식,"서울특별시 은평구 통일로 856, 지하1층동 B1011호 (불광동, (지하1층)메트로타워)",서울특별시 은평구 불광동 311-13 (지하1층)메트로타워 B1011호,5.94,,다방
휴게음식점,티.디.비엔,"서울특별시 은평구 통일로 856, 지하1층동 B1014호 (불광동, (지하1층)메트로타워)",서울특별시 은평구 불광동 311-13 (지하1층)메트로타워 B1014호,9.9,,패스트푸드
휴게음식점,베스킨라빈스,서울특별시 은평구 서오릉로 150 (갈현동),서울특별시 은평구 갈현동 465-23,95,0235-3314-   6,기타 휴게음식점
휴게음식점,(주)롯데리아 응암오거리점,"서울특별시 은평구 응암로 177 (응암동, 1층)",서울특별시 은평구 응암동 598-4 (1층),244.13,,패스트푸드
휴게음식점,클루(CLUE),"서울특별시 은평구 응암로 168, 지하1층 (응암동)",서울특별시 은평구 응암동 603-62,75.5,02- 309-4062,기타 휴게음식점
휴게음식점,피자투어,"서울특별시 은평구 응암로 247, 1층 (응암동)",서울특별시 은평구 응암동 124-17 1층,34,02- 387-9978,기타 휴게음식점
휴게음식점,가게가께분식,"서울특별시 은평구 연서로33길 5 (불광동,,3호(1층))","서울특별시 은평구 불광동 366-1 ,3호(1층)",24.96,,일반조리판매
휴게음식점,타이코,"서울특별시 은평구 은평로 203, 1층 (녹번동)",서울특별시 은평구 녹번동 79-2 1층,17.22,,기타 휴게음식점
휴게음식점,거명식품,"서울특별시 은평구 통일로 842 (불광동,,15,19,20호 (1층))","서울특별시 은평구 불광동 308-1 ,15,19,20호 (1층)",8.25,,일반조리판매
휴게음식점,로드스테이션,"서울특별시 은평구 연서로29길 30, 1층 (갈현동)",서울특별시 은평구 갈현동 431-9 1층,11.93,,패스트푸드
휴게음식점,본죽불광점,"서울특별시 은평구 불광로 40, 1층 (불광동)",서울특별시 은평구 불광동 281-75,51.36,02- 356-1917,일반조리판매
휴게음식점,석봉토스트,"서울특별시 은평구 은평터널로 145 (신사동,,37(지상1층))","서울특별시 은평구 신사동 191-3 ,37(지상1층)",9.3,02- 307-8001,패스트푸드
휴게음식점,이삭토스트,"서울특별시 은평구 은평로 228 (응암동, 1층 우측)",서울특별시 은평구 응암동 4-2 1층 우측,36,,패스트푸드
휴게음식점,씨지브이(CGV)불광11층,"서울특별시 은평구 불광로 20, 11층 (대조동, 팜스퀘어)",서울특별시 은평구 대조동 240 팜스퀘어 11층,41.6,02- 350-9000,패스트푸드
휴게음식점,씨지브이(CGV)불광13층,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어13층)",서울특별시 은평구 대조동 240 팜스퀘어13층,26.08,02- 350-9000,패스트푸드
휴게음식점,(주)소이에이에프,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지하2층)",서울특별시 은평구 대조동 240 팜스퀘어 지하2층,4.73,02- 525-6283,일반조리판매
휴게음식점,태림산업,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지하2층)",서울특별시 은평구 대조동 240 팜스퀘어 지하2층,8,,패스트푸드
휴게음식점,에스프레소인뉴욕,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지상9층 E005호)",서울특별시 은평구 대조동 240 팜스퀘어 지상9층 E005호,28.67,02- 350-8333,커피숍
휴게음식점,(주)퍼플라이프,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 2BHC-001 (농협하나로클럽은평점내))",서울특별시 은평구 대조동 240 팜스퀘어 2BHC-001 (농협하나로클럽은평점내),6.6,,기타 휴게음식점
휴게음식점,이삭토스트,"서울특별시 은평구 갈현로 85, 1층 (역촌동)",서울특별시 은평구 역촌동 54-6 1층,25.4,02- 355-1339,패스트푸드
휴게음식점,토프레스,"서울특별시 은평구 은평로9길 3, 1층 (응암동)",서울특별시 은평구 응암동 89-38,20.74,,일반조리판매
휴게음식점,토스트다우,"서울특별시 은평구 은평로 92, 1층 (응암동)",서울특별시 은평구 응암동 111-40,23.94,,일반조리판매
휴게음식점,요거팜,"서울특별시 은평구 연서로29길 10, 1층 (갈현동)",서울특별시 은평구 갈현동 399-11 1층,17.11,,일반조리판매
휴게음식점,좋앗나,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지상9층 E004호)",서울특별시 은평구 대조동 240 팜스퀘어 지상9층 E004호,15.92,- 350-9932,패스트푸드
휴게음식점,도미노피자 가좌점,"서울특별시 은평구 증산로 303 (증산동, 태광아파트 1층 104, 106호)","서울특별시 은평구 증산동 249 태광아파트 1층 104, 106호",106.35,- 305-3082,패스트푸드
휴게음식점,배스킨라빈스응암역점,"서울특별시 은평구 은평로 65, 1층 (역촌동)",서울특별시 은평구 역촌동 85-48 1층,59.43,,일반조리판매
휴게음식점,피자스쿨,"서울특별시 은평구 진흥로 29, 1층 (역촌동)",서울특별시 은평구 역촌동 43-77 1층,25.16,,기타 휴게음식점
휴게음식점,크렘 마마,"서울특별시 은평구 서오릉로 134 (대조동, 지상1충)",서울특별시 은평구 대조동 226-3 지상1층,28.4,02- 385-2229,일반조리판매
휴게음식점,갈현동떡볶기,"서울특별시 은평구 연서로29길 24, 1층 (갈현동)",서울특별시 은평구 갈현동 431-5 1층,29.24,- 359-1643,일반조리판매
