store,tel,jibeon addr,road addr,gu,main food,reg date
(주)아모제마르쉐신촌점,322-7757,서울특별시 서대문구 창천동 72-14번지 캠퍼스프라자 지1층,"서울특별시 서대문구 신촌로 73  (창천동,캠퍼스프라자 지1층)",서대문구,nan,2023-05-20
롸이즈온(주)베니건스이대점,,서울특별시 서대문구 대현동 101-7번지,서울특별시 서대문구 신촌역로 10  (대현동),서대문구,nan,2023-05-20
씨제이푸드(주) 에프터더레인 안국점 (정진구),02-730-2051,서울특별시 종로구 화동 117번지 ,서울특별시 종로구 북촌로 31-22  (화동),종로구,nan,2023-05-20
안나푸르나(Anna Purna),747-2976,서울특별시 종로구 창신동 695-1번지 3층 ,"서울특별시 종로구 종로 291  (창신동,3층)",종로구,nan,2023-05-20
새골목집,749-3336,서울특별시 용산구 이태원동 116-15번지 지상1층 ,"서울특별시 용산구 이태원로27가길 50  (이태원동,지상1층)",용산구,nan,2023-05-20
쿠아타이,2012-0567,서울특별시 용산구 한강로3가 40-999번지 현대아이파크몰 5층 514 ,,,nan,2023-05-20
티원(T-Won),02-3270-7533,서울특별시 용산구 동자동 43-205번지 3층 301호,,,nan,2023-05-20
니시키,749-0446,서울특별시 용산구 한남동 683-122번지 지상1층 ,"서울특별시 용산구 이태원로 232  (한남동,지상1층)",용산구,nan,2023-05-20
판쵸스,,서울특별시 용산구 이태원동 127-3번지 ,서울특별시 용산구 이태원로 190  (이태원동),용산구,nan,2023-05-20
취룡,,서울특별시 용산구 한남동 653-1번지 지상1층 ,"서울특별시 용산구 대사관로 52  (한남동,지상1층)",용산구,nan,2023-05-20
르어 이촌점,,서울특별시 용산구 이촌동 300-23번지 ,서울특별시 용산구 이촌로 248  (이촌동),용산구,nan,2023-05-20
(주)테크데이타 원효로지점 포이삽사,7020424,서울특별시 용산구 원효로4가 137번지 ,서울특별시 용산구 효창원로 4  (원효로4가),용산구,nan,2023-05-20
경풍루,2012-0696,서울특별시 용산구 한강로3가 40-999번지 현대아이몰 6층 ,,,nan,2023-05-20
